,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_id
61,O62,C348,delivered,2018-08-05 13:09:48,2018-08-05 13:24:34,2018-08-06 13:41:00,2018-08-10 18:35:40,2018-08-15 00:00:00,P838
62,O63,C388,return_replace,2017-11-15 11:31:41,2017-11-15 11:46:42,2017-11-16 22:03:00,2017-11-22 22:41:07,2017-12-05 00:00:00,P1117
63,O64,C58,return_replace,2018-02-19 20:31:09,2018-02-21 06:15:25,2018-02-22 21:04:23,2018-03-09 22:22:25,2018-03-13 00:00:00,P253
64,O65,C662,canceled_before_ship,2018-04-22 08:48:13,2018-04-24 18:25:22,,,2018-05-15 00:00:00,P1335
65,O66,C482,return_refund,2018-01-07 21:44:54,2018-01-07 21:51:28,2018-01-10 21:56:09,2018-01-17 20:26:31,2018-02-14 00:00:00,P1775
66,O67,C907,return_replace,2018-02-10 13:26:59,2018-02-10 13:35:31,2018-02-14 20:47:38,2018-02-20 22:13:08,2018-03-12 00:00:00,P1889
67,O68,C965,return_refund,2018-06-18 16:02:23,2018-06-18 17:00:57,2018-06-19 15:55:00,2018-06-22 21:18:51,2018-07-13 00:00:00,P1100
68,O69,C584,return_refund,2018-06-13 13:47:39,2018-06-15 02:37:29,2018-06-15 14:22:00,2018-06-18 22:32:44,2018-06-26 00:00:00,P1927
69,O70,C364,return_replace,2018-07-15 08:33:19,2018-07-16 14:31:10,2018-07-17 15:33:00,2018-07-24 16:41:18,2018-08-02 00:00:00,P801
70,O71,C510,return_refund,2017-09-13 14:27:11,2017-09-13 14:44:39,2017-09-15 18:42:29,2017-09-16 15:40:08,2017-09-25 00:00:00,P703
71,O72,C459,return_refund,2018-04-13 08:44:17,2018-04-13 13:30:02,2018-04-13 22:19:21,2018-04-19 20:41:45,2018-05-08 00:00:00,P160
72,O73,C864,canceled_after_ship,2018-02-15 10:33:30,2018-02-15 10:47:59,2018-02-20 14:15:09,,2018-03-07 00:00:00,P784
73,O74,C623,return_refund,2017-02-20 11:45:39,2017-02-22 03:10:20,2017-02-23 06:47:35,2017-03-09 14:27:58,2017-03-21 00:00:00,P620
74,O75,C644,return_refund,2017-04-20 17:15:46,2017-04-21 05:15:56,2017-04-24 09:34:13,2017-05-10 09:17:55,2017-05-12 00:00:00,P1586
75,O76,C652,return_replace,2017-09-15 09:19:48,2017-09-15 09:35:18,2017-09-18 18:20:00,2017-09-25 20:14:48,2017-10-11 00:00:00,P1387
76,O77,C629,return_refund,2018-07-28 16:52:55,2018-07-31 03:50:24,2018-08-01 16:01:00,2018-08-06 18:44:46,2018-08-08 00:00:00,P1678
77,O78,C12,return_replace,2017-08-09 18:32:47,2017-08-09 18:45:18,2017-08-10 20:21:53,2017-08-16 18:17:54,2017-08-31 00:00:00,P244
78,O79,C350,return_refund,2018-08-26 22:04:34,2018-08-28 04:10:18,2018-08-28 12:56:00,2018-08-29 12:40:53,2018-08-30 00:00:00,P737
79,O80,C20,delivered,2017-07-30 03:06:35,2017-07-30 03:25:08,2017-07-31 16:42:54,2017-08-01 14:27:31,2017-08-16 00:00:00,P26
80,O81,C89,delivered,2017-12-22 00:17:37,2017-12-23 02:15:31,2017-12-27 19:54:46,2018-01-09 19:52:32,2018-01-19 00:00:00,P370
81,O82,C475,return_replace,2017-04-06 22:39:29,2017-04-06 22:50:24,2017-04-07 14:54:18,2017-04-11 12:31:36,2017-04-27 00:00:00,P1165
82,O83,C856,return_replace,2017-05-09 20:48:59,2017-05-09 21:02:45,2017-05-10 11:22:15,2017-05-18 13:22:35,2017-06-01 00:00:00,P712
83,O84,C550,return_replace,2017-04-20 20:42:44,2017-04-20 20:55:09,2017-04-25 08:23:08,2017-05-11 13:07:46,2017-05-25 00:00:00,P204
84,O85,C802,return_replace,2017-10-16 14:56:50,2017-10-17 03:49:34,2017-10-27 22:14:21,2017-11-08 21:25:24,2017-11-21 00:00:00,P1240
85,O86,C908,return_refund,2017-12-08 09:42:43,2017-12-09 02:49:54,2017-12-11 15:19:04,2017-12-19 18:43:35,2018-01-03 00:00:00,P61
86,O87,C895,return_refund,2017-08-26 16:53:30,2017-08-27 17:04:12,2017-08-30 13:26:32,2017-09-08 20:39:56,2017-09-21 00:00:00,P1863
87,O88,C840,delivered,2018-02-27 12:55:42,2018-03-01 02:48:54,2018-03-03 02:27:03,2018-03-16 14:59:01,2018-03-29 00:00:00,P1406
88,O89,C1,return_replace,2018-05-11 13:10:51,2018-05-11 13:36:50,2018-05-16 14:43:00,2018-05-21 16:09:55,2018-06-05 00:00:00,P31
89,O90,C224,return_refund,2018-01-22 19:22:22,2018-01-22 19:36:35,2018-01-24 23:32:21,2018-02-15 20:08:15,2018-02-19 00:00:00,P147
90,O91,C379,delivered,2018-05-01 08:12:37,2018-05-01 08:52:58,2018-05-02 19:01:00,2018-05-04 14:02:26,2018-05-16 00:00:00,P117
91,O92,C750,return_refund,2017-09-19 22:17:15,2017-09-20 07:55:14,2017-09-22 17:23:09,2017-10-10 18:43:53,2017-10-13 00:00:00,P444
92,O93,C276,return_replace,2018-04-11 22:32:31,2018-04-11 22:49:32,2018-04-14 00:02:39,2018-04-27 23:14:42,2018-05-21 00:00:00,P722
93,O94,C727,delivered,2017-12-20 23:45:07,2017-12-22 02:37:45,2017-12-23 13:10:45,2018-01-09 18:14:02,2018-01-22 00:00:00,P1331
94,O95,C462,return_replace,2018-04-22 23:23:18,2018-04-24 19:24:14,2018-04-27 13:46:00,2018-04-30 17:57:25,2018-05-07 00:00:00,P1801
95,O96,C204,return_replace,2018-08-03 08:59:39,2018-08-03 09:31:36,2018-08-03 10:10:00,2018-08-17 00:49:41,2018-08-27 00:00:00,P1521
96,O97,C90,return_replace,2018-05-14 08:35:33,2018-05-14 08:52:24,2018-05-16 14:46:00,2018-05-18 14:48:38,2018-06-08 00:00:00,P1692
97,O98,C196,return_refund,2017-11-22 11:32:22,2017-11-22 11:46:50,2017-11-27 13:39:35,2017-12-28 19:43:00,2017-12-11 00:00:00,P524
98,O99,C935,return_refund,2017-03-30 07:50:33,2017-03-30 08:05:08,2017-03-30 10:55:54,2017-04-10 02:59:52,2017-04-26 00:00:00,P937
99,O100,C566,delivered,2018-06-05 09:10:34,2018-06-05 09:32:22,2018-06-06 15:37:00,2018-06-18 12:36:54,2018-07-23 00:00:00,P178
100,O101,C220,canceled_after_ship,2018-08-26 11:04:26,2018-08-26 11:15:29,2018-08-27 15:52:00,,2018-08-30 00:00:00,P1513
101,O102,C237,return_refund,2017-05-17 08:36:11,2017-05-17 08:45:09,2017-05-17 10:13:52,2017-05-23 13:32:30,2017-06-06 00:00:00,P269
102,O103,C180,return_refund,2018-07-30 22:41:44,2018-08-01 02:50:15,2018-08-02 10:35:00,2018-08-03 19:28:47,2018-08-02 00:00:00,P1275
103,O104,C136,canceled_after_ship,2018-08-03 17:44:42,2018-08-07 06:15:14,,,2018-08-21 00:00:00,P1547
104,O105,C523,delivered,2018-03-01 22:14:26,2018-03-02 22:08:51,2018-03-05 17:32:31,2018-03-09 14:48:21,2018-03-26 00:00:00,P993
105,O106,C73,delivered,2018-02-06 21:09:10,2018-02-06 21:29:40,2018-02-07 17:13:05,2018-02-16 20:24:42,2018-03-07 00:00:00,P1072
106,O107,C725,return_replace,2017-01-28 23:45:53,2017-01-29 01:31:48,2017-02-01 14:25:06,2017-02-10 17:30:19,2017-03-10 00:00:00,P1632
107,O108,C371,return_replace,2018-01-27 22:04:34,2018-01-27 22:16:18,2018-02-03 03:56:00,2018-02-09 20:16:40,2018-02-26 00:00:00,P1859
108,O109,C547,return_refund,2017-07-01 15:42:32,2017-07-04 04:10:19,2017-07-04 14:52:46,2017-07-12 20:17:57,2017-07-25 00:00:00,P1973
109,O110,C820,delivered,2017-09-27 12:07:22,2017-09-27 12:26:02,2017-09-29 22:25:42,2017-09-30 17:13:01,2017-10-16 00:00:00,P152
110,O111,C253,return_refund,2017-11-28 21:00:44,2017-12-01 09:31:15,2017-12-14 20:37:43,2018-01-23 21:38:52,2017-12-22 00:00:00,P530
111,O112,C616,return_refund,2018-02-01 12:31:21,2018-02-01 12:54:33,2018-02-02 00:39:31,2018-02-02 16:12:53,2018-02-19 00:00:00,P1080
112,O113,C272,canceled_after_ship,2018-08-22 16:10:29,2018-08-22 16:25:19,2018-08-23 14:33:00,,2018-09-05 00:00:00,P621
113,O114,C666,delivered,2018-07-06 23:36:15,2018-07-07 10:10:09,2018-07-10 14:25:00,2018-07-13 17:18:42,2018-08-10 00:00:00,P154
114,O115,C264,return_refund,2018-05-09 18:27:00,2018-05-09 18:54:13,2018-05-10 16:07:00,2018-05-22 00:08:26,2018-05-29 00:00:00,P335
115,O116,C719,return_refund,2017-11-26 17:49:46,2017-11-26 17:58:34,2017-11-28 23:17:09,2018-01-20 13:42:22,2017-12-19 00:00:00,P283
116,O117,C792,return_refund,2017-09-29 09:32:17,2017-09-29 09:44:12,2017-09-29 21:58:48,2017-09-30 16:55:39,2017-10-17 00:00:00,P836
117,O118,C198,delivered,2017-06-27 23:11:57,2017-06-27 23:35:09,2017-06-28 14:28:00,2017-06-29 10:16:35,2017-07-10 00:00:00,P36
118,O119,C408,return_replace,2018-01-23 10:32:39,2018-01-23 10:59:10,2018-01-26 19:12:26,2018-02-07 14:59:03,2018-02-21 00:00:00,P220
119,O120,C139,delivered,2018-08-20 18:24:30,2018-08-20 18:35:26,2018-08-21 11:53:00,2018-08-28 13:43:41,2018-09-13 00:00:00,P1283
120,O121,C618,delivered,2018-01-30 07:51:17,2018-01-30 08:13:43,2018-01-31 15:06:03,2018-02-20 15:25:04,2018-02-21 00:00:00,P1598
121,O122,C414,return_refund,2018-03-31 14:20:46,2018-04-03 05:10:21,2018-04-05 00:44:42,2018-04-07 00:06:33,2018-05-04 00:00:00,P1461
122,O123,C985,delivered,2018-03-07 23:00:33,2018-03-09 03:00:35,2018-03-14 02:08:26,2018-03-19 18:46:32,2018-03-29 00:00:00,P1884
123,O124,C345,return_replace,2018-05-08 22:12:34,2018-05-08 22:31:43,2018-05-10 13:35:00,2018-05-14 18:55:59,2018-05-23 00:00:00,P27
124,O125,C438,delivered,2017-03-30 14:46:00,2017-03-30 14:55:17,2017-04-10 18:53:49,2017-04-27 11:08:55,2017-05-12 00:00:00,P22
125,O126,C93,delivered,2017-11-24 21:55:22,2017-11-25 01:31:43,2017-11-28 22:37:15,2017-12-01 21:11:40,2017-12-15 00:00:00,P1435
126,O127,C447,delivered,2018-04-25 22:18:10,2018-04-25 22:31:56,2018-04-26 12:35:00,2018-04-27 16:50:03,2018-05-14 00:00:00,P1565
127,O128,C500,delivered,2017-07-16 10:27:45,2017-07-16 10:35:14,2017-07-18 12:34:04,2017-07-21 19:59:36,2017-08-04 00:00:00,P1984
128,O129,C435,canceled_before_ship,2017-09-03 14:22:03,2017-09-03 14:30:09,,,2017-10-03 00:00:00,P187
129,O130,C928,return_replace,2017-11-21 12:08:32,2017-11-21 12:40:55,2017-11-22 20:17:08,2017-11-28 20:33:38,2017-12-14 00:00:00,P256
130,O131,C265,delivered,2017-10-19 15:08:48,2017-10-19 15:35:35,2017-10-23 13:14:16,2017-10-24 15:57:46,2017-10-31 00:00:00,P1612
131,O132,C50,return_replace,2018-07-22 15:19:05,2018-07-23 12:32:22,2018-07-25 10:06:00,2018-08-02 21:08:57,2018-08-13 00:00:00,P1011
132,O133,C518,return_refund,2017-12-02 14:28:03,2017-12-02 14:38:30,2017-12-04 21:54:27,2017-12-11 16:17:04,2018-01-04 00:00:00,P1562
133,O134,C819,return_replace,2018-03-26 09:14:26,2018-03-26 09:28:24,2018-03-27 17:21:48,2018-03-29 20:08:43,2018-04-20 00:00:00,P835
134,O135,C981,delivered,2018-01-09 06:37:43,2018-01-09 07:27:15,2018-01-09 18:35:02,2018-01-15 14:56:58,2018-02-06 00:00:00,P1933
135,O136,C579,return_refund,2018-02-06 18:25:39,2018-02-07 02:35:40,2018-02-07 22:15:04,2018-02-14 19:07:41,2018-03-08 00:00:00,P1071
136,O137,C918,return_refund,2018-07-18 13:39:54,2018-07-18 13:50:14,2018-07-24 14:14:00,2018-07-26 18:26:37,2018-07-30 00:00:00,P863
137,O138,C471,return_refund,2017-03-28 16:03:34,2017-03-28 16:15:15,2017-03-29 13:23:55,2017-03-31 10:07:25,2017-04-17 00:00:00,P1772
138,O139,C773,delivered,2018-06-08 12:19:58,2018-06-08 12:37:01,2018-06-11 08:23:00,2018-06-15 20:58:47,2018-07-05 00:00:00,P137
139,O140,C972,return_refund,2017-07-10 12:23:05,2017-07-12 02:10:59,2017-07-13 18:35:37,2017-07-17 17:03:47,2017-07-28 00:00:00,P548
140,O141,C92,return_replace,2018-05-16 16:10:21,2018-05-18 04:54:31,2018-05-21 07:09:00,2018-05-24 19:04:00,2018-06-04 00:00:00,P100
141,O142,C157,delivered,2018-07-05 18:40:47,2018-07-05 18:55:15,2018-07-10 15:10:00,2018-07-11 21:16:47,2018-07-19 00:00:00,P1609
142,O143,C726,return_replace,2017-09-20 17:12:34,2017-09-21 14:44:35,2017-09-22 17:54:05,2017-09-28 19:47:42,2017-10-18 00:00:00,P1853
143,O144,C761,delivered,2018-02-21 17:15:49,2018-02-22 16:10:41,2018-02-23 22:42:43,2018-03-22 00:03:53,2018-03-16 00:00:00,P239
144,O145,C375,delivered,2018-01-10 14:18:40,2018-01-11 02:48:39,2018-01-12 14:15:26,2018-01-24 23:16:49,2018-01-31 00:00:00,P1540
145,O146,C270,delivered,2017-04-26 16:14:11,2017-04-27 17:22:58,2017-04-28 12:43:07,2017-05-12 14:04:02,2017-05-29 00:00:00,P10
146,O147,C658,return_refund,2017-11-27 19:24:52,2017-11-27 19:39:02,2017-11-28 22:58:14,2017-12-08 15:41:46,2017-12-27 00:00:00,P1007
147,O148,C140,canceled_before_ship,2018-05-11 16:35:19,2018-05-12 03:32:26,,,2018-05-21 00:00:00,P193
148,O149,C302,return_refund,2018-05-25 08:54:21,2018-05-25 09:16:24,2018-05-28 15:43:00,2018-05-30 15:06:44,2018-06-12 00:00:00,P1448
149,O150,C592,return_refund,2017-11-26 09:32:06,2017-11-28 09:35:11,2017-11-28 19:18:52,2017-12-11 19:03:18,2017-12-19 00:00:00,P1544
150,O151,C619,return_refund,2017-11-17 21:14:42,2017-11-22 02:49:29,2017-11-22 17:37:09,2017-12-05 20:23:33,2017-12-20 00:00:00,P1686
151,O152,C578,delivered,2018-07-23 18:27:07,2018-07-24 10:32:48,2018-07-25 14:10:00,2018-08-01 19:31:47,2018-08-10 00:00:00,P862
152,O153,C432,return_refund,2018-02-14 13:05:17,2018-02-14 13:15:38,2018-02-20 20:12:57,2018-03-09 21:52:36,2018-03-09 00:00:00,P555
153,O154,C554,canceled_before_ship,2017-04-30 22:43:56,2017-04-30 22:55:09,,,2017-06-05 00:00:00,P1261
154,O155,C322,canceled_after_ship,2018-01-10 11:33:07,2018-01-11 02:32:30,2018-01-11 19:39:23,,2018-02-07 00:00:00,P1012
155,O156,C671,delivered,2017-05-15 16:29:03,2017-05-16 03:35:16,2017-05-17 09:24:51,2017-05-23 12:51:55,2017-06-08 00:00:00,P1026
156,O157,C390,return_replace,2017-07-22 19:16:47,2017-07-22 19:25:18,2017-07-25 19:14:13,2017-07-31 18:17:45,2017-08-11 00:00:00,P670
157,O158,C575,return_refund,2018-06-24 19:01:52,2018-06-24 19:20:23,2018-06-25 15:57:00,2018-06-28 13:03:08,2018-07-27 00:00:00,P1673
158,O159,C878,return_refund,2018-07-02 12:54:20,2018-07-02 13:10:15,2018-07-03 15:04:00,2018-07-06 11:52:07,2018-07-25 00:00:00,P765
159,O160,C600,delivered,2017-03-06 00:14:28,2017-03-06 00:33:11,2017-03-06 09:54:32,2017-03-20 09:28:56,2017-04-11 00:00:00,P1945
160,O161,C215,return_replace,2017-10-04 23:02:21,2017-10-04 23:14:17,2017-10-05 18:37:19,2017-10-20 16:18:59,2017-11-09 00:00:00,P1914
161,O162,C356,return_refund,2017-12-21 17:43:41,2017-12-21 17:56:24,2017-12-26 16:59:04,2018-01-04 21:56:01,2018-01-22 00:00:00,P522
162,O163,C191,canceled_after_ship,2017-05-09 11:48:37,2017-05-11 11:45:14,2017-05-11 13:21:47,,2017-06-08 00:00:00,P1869
163,O164,C391,return_refund,2018-02-02 16:15:41,2018-02-02 16:36:26,2018-02-06 01:28:26,2018-02-20 18:09:29,2018-03-07 00:00:00,P1104
164,O165,C376,delivered,2018-06-01 11:26:06,2018-06-02 03:15:28,2018-06-04 13:08:00,2018-06-05 17:44:39,2018-07-04 00:00:00,P789
165,O166,C815,return_replace,2018-08-09 16:23:03,2018-08-09 17:30:25,2018-08-10 12:32:00,2018-08-14 19:12:05,2018-08-21 00:00:00,P1693
166,O167,C309,return_refund,2017-11-15 13:47:34,2017-11-15 13:55:31,2017-11-17 15:12:12,2017-12-06 01:12:12,2017-12-14 00:00:00,P1027
167,O168,C184,return_replace,2018-04-26 11:59:05,2018-04-26 12:11:18,2018-04-27 11:49:00,2018-05-03 02:52:58,2018-05-07 00:00:00,P382
168,O169,C222,return_replace,2018-07-15 12:37:12,2018-07-16 12:30:53,2018-07-16 14:33:00,2018-07-23 23:56:47,2018-08-13 00:00:00,P665
169,O170,C563,delivered,2018-05-30 22:33:08,2018-05-30 22:55:45,2018-06-11 14:44:00,2018-06-18 23:07:33,2018-07-16 00:00:00,P1731
170,O171,C42,return_refund,2017-12-02 14:08:33,2017-12-02 14:17:20,2017-12-08 21:21:12,2017-12-13 09:44:38,2017-12-27 00:00:00,P659
171,O172,C144,return_replace,2018-03-29 14:27:41,2018-03-29 14:35:21,2018-04-04 23:16:22,2018-04-06 22:52:39,2018-04-11 00:00:00,P329
172,O173,C608,return_replace,2018-06-25 15:36:18,2018-06-25 15:58:17,2018-06-26 14:58:00,2018-06-27 17:18:42,2018-07-11 00:00:00,P1891
