,Unnamed: 0,customer_id,total_order,s_order,r_order,c_order,credit_payment,emi_payment,cod_payment,price_range_one,price_range_two,price_range_three,last_three_month_order,last_six_month_order,last_one_year_order,order_score,payment_score,product_score,total_score,loan_amount,interest
40,40,C41,44,30,0,14,7,0,23,2,13,15,1,29,29,10.45454545,20,48.66666667,79.12121212,3500,8
41,41,C42,30,25,4,1,8,12,5,24,0,1,15,18,20,13.66666667,15.2,21.6,50.46666667,2500,12
42,42,C43,49,19,10,20,3,14,2,2,2,15,7,8,13,-0.408163265,12.63157895,53.68421053,65.90762621,3000,8
43,43,C44,27,24,2,1,24,0,0,13,11,0,13,13,21,15.92592593,20,29.16666667,65.09259259,3000,8
44,44,C45,47,41,3,3,13,24,4,16,21,4,3,30,31,15.53191489,14.14634146,34.14634146,63.82459782,3000,8
45,45,C46,26,6,11,9,5,1,0,3,2,1,0,6,6,-7.307692308,18.33333333,33.33333333,44.35897436,2000,14
46,46,C47,24,7,7,10,1,2,4,5,2,0,2,5,7,-4.166666667,17.14285714,25.71428571,38.69047619,1500,14
47,47,C48,47,7,29,11,6,1,0,3,2,2,1,6,6,-11.70212766,18.57142857,37.14285714,44.01215805,2000,14
48,48,C49,21,4,12,5,2,1,1,3,1,0,0,0,1,-10,17.5,25,32.5,1500,14
49,49,C50,35,33,0,2,4,3,26,15,18,0,16,21,27,18.28571429,19.09090909,30.90909091,68.28571429,3000,8
50,50,C51,8,6,0,2,1,2,3,4,2,0,3,4,4,12.5,16.66666667,26.66666667,55.83333333,2500,10
51,51,C52,30,1,26,3,1,0,0,1,0,0,1,1,1,-17.66666667,20,20,22.33333333,1000,14
52,52,C53,9,3,0,6,3,0,0,0,0,3,2,3,3,0,20,60,80,4000,8
53,53,C54,22,2,17,3,1,0,1,1,0,1,2,2,2,-15,20,40,45,2000,14
54,54,C55,29,14,0,15,12,1,1,12,0,2,11,14,14,4.482758621,19.28571429,25.71428571,49.48275862,2000,12
55,55,C56,44,15,7,22,9,4,2,4,1,10,6,13,13,-1.363636364,17.33333333,48,63.96969697,3000,8
56,56,C57,38,30,0,8,28,2,0,27,3,0,19,23,30,13.68421053,19.33333333,22,55.01754386,2500,10
57,57,C58,28,3,18,7,2,0,1,1,1,1,2,2,3,-13.21428571,20,40,46.78571429,2000,14
58,58,C59,8,3,2,3,1,1,1,1,1,1,2,3,3,-1.25,16.66666667,40,55.41666667,2500,10
59,59,C60,8,1,5,2,0,0,1,0,0,1,1,1,1,-12.5,20,60,67.5,3000,8
60,60,C61,47,2,28,17,0,1,1,0,1,1,0,2,2,-14.68085106,15,50,50.31914894,2500,12
61,61,C62,2,0,1,1,0,0,0,0,0,0,0,0,0,-15,0,50,35,1500,14
62,62,C63,4,0,1,3,0,0,0,0,0,0,0,0,0,-12.5,0,50,37.5,1500,14
63,63,C64,49,31,4,14,9,2,20,0,27,4,15,26,28,8.163265306,19.35483871,42.58064516,70.09874918,3500,8
64,64,C65,40,32,2,6,27,2,3,8,16,8,31,31,32,13.5,19.375,40,72.875,3500,8
65,65,C66,34,20,3,11,5,8,7,0,2,18,13,16,17,6.764705882,16,58,80.76470588,4000,8
66,66,C67,47,3,31,13,1,1,1,3,0,0,3,3,3,-14.68085106,16.66666667,20,21.9858156,1000,14
67,67,C68,6,4,1,1,2,2,0,4,0,0,3,3,3,8.333333333,15,20,43.33333333,2000,14
68,68,C69,40,34,2,4,7,6,21,9,4,21,31,32,32,15,18.23529412,47.05882353,80.29411765,4000,8
69,69,C70,1,0,0,1,0,0,0,0,0,0,0,0,0,-10,0,47.05882353,37.05882353,1500,14
70,70,C71,8,0,4,4,0,0,0,0,0,0,0,0,0,-15,0,47.05882353,32.05882353,1500,14
71,71,C72,4,2,0,2,2,0,0,0,1,1,1,2,2,5,20,50,75,3500,8
72,72,C73,48,9,19,20,1,0,8,2,6,1,5,5,9,-8.333333333,20,37.77777778,49.44444444,2000,12
73,73,C74,32,6,15,11,4,2,0,3,3,0,4,4,4,-9.0625,16.66666667,30,37.60416667,1500,14
74,74,C75,47,31,7,9,30,1,0,4,27,0,30,30,30,8.29787234,19.67741935,37.41935484,65.39464653,3000,8
75,75,C76,19,13,2,4,2,7,4,2,6,5,0,5,8,9.473684211,14.61538462,44.61538462,68.70445344,3000,8
76,76,C77,20,6,7,7,2,4,0,2,0,4,0,6,6,-4.5,13.33333333,46.66666667,55.5,2500,10
77,77,C78,2,0,0,2,0,0,0,0,0,0,0,0,0,-10,0,46.66666667,36.66666667,1500,14
78,78,C79,24,19,0,5,10,9,0,4,8,7,19,19,19,13.75,15.26315789,43.15789474,72.17105263,3500,8
79,79,C80,2,1,0,1,0,1,0,0,0,1,1,1,1,5,10,60,75,3500,8
80,80,C81,31,25,5,1,15,2,8,0,16,9,19,25,25,12.58064516,19.2,47.2,78.98064516,3500,8
81,81,C82,24,2,18,4,1,0,1,0,1,1,1,1,2,-15,20,50,55,2500,10
82,82,C83,30,17,7,6,14,3,0,10,6,1,9,17,17,4.666666667,18.23529412,29.41176471,52.31372549,2500,10
83,83,C84,2,1,0,1,1,0,0,0,1,0,1,1,1,5,20,40,65,3000,8
84,84,C85,6,1,1,4,0,0,1,1,0,0,0,0,0,-6.666666667,20,20,33.33333333,1500,14
85,85,C86,21,2,18,1,0,1,1,0,2,0,2,2,2,-15.71428571,15,40,39.28571429,1500,14
86,86,C87,41,13,4,24,10,2,1,13,0,0,3,11,11,-1.463414634,18.46153846,20,36.99812383,1500,14
87,87,C88,21,20,0,1,19,1,0,13,0,7,4,20,20,18.57142857,19.5,34,72.07142857,3500,8
88,88,C89,24,0,17,7,0,0,0,0,0,0,0,0,0,-17.08333333,0,34,16.91666667,500,14
89,89,C90,16,9,6,1,6,3,0,3,6,0,3,9,9,3.125,16.66666667,33.33333333,53.125,2500,10
90,90,C91,40,17,9,14,9,2,6,16,0,1,10,15,17,0.5,18.82352941,22.35294118,41.67647059,2000,14
91,91,C92,43,17,15,11,9,2,6,12,0,5,8,10,15,-1.627906977,18.82352941,31.76470588,48.96032832,2000,12
92,92,C93,8,2,1,5,2,0,0,2,0,0,2,2,2,-3.75,20,20,36.25,1500,14
93,93,C94,12,6,5,1,2,4,0,0,5,1,6,6,6,0.833333333,13.33333333,43.33333333,57.5,2500,8
94,94,C95,2,1,0,1,0,0,1,1,0,0,0,0,1,5,20,20,45,2000,14
95,95,C96,22,21,0,1,6,11,4,7,7,7,12,20,20,18.63636364,14.76190476,40,73.3982684,3500,8
96,96,C97,39,7,18,14,0,3,4,1,0,6,0,7,7,-9.230769231,15.71428571,54.28571429,60.76923077,3000,8
97,97,C98,43,19,9,15,10,9,0,12,5,2,15,16,17,1.162790698,15.26315789,29.47368421,45.8996328,2000,14
98,98,C99,10,6,3,1,3,2,1,4,1,1,0,4,6,5,16.66666667,30,51.66666667,2500,12
99,99,C100,48,13,7,28,13,0,0,10,3,0,9,12,12,-3.333333333,20,24.61538462,41.28205128,2000,14
100,100,C101,12,4,7,1,1,3,0,2,2,0,4,4,4,-5.833333333,12.5,30,36.66666667,1500,14
101,101,C102,43,30,7,6,16,14,0,5,21,4,4,24,27,9.302325581,15.33333333,39.33333333,63.96899225,3000,8
102,102,C103,4,2,0,2,1,1,0,2,0,0,0,2,2,5,15,20,40,2000,14
103,103,C104,24,17,1,6,8,0,9,6,5,6,11,16,17,10.83333333,20,40,70.83333333,3500,8
104,104,C105,31,12,6,13,3,3,6,0,9,3,0,5,8,-0.322580645,17.5,45,62.17741935,3000,8
105,105,C106,16,14,0,2,1,5,8,6,7,1,0,8,13,16.25,16.42857143,32.85714286,65.53571429,3000,8
106,106,C107,44,37,4,3,6,17,14,2,25,10,36,37,37,14.31818182,15.40540541,44.32432432,74.04791155,3500,8
107,107,C108,6,1,4,1,1,0,0,1,0,0,0,0,0,-11.66666667,20,20,28.33333333,1000,14
108,108,C109,25,8,16,1,7,0,1,7,1,0,2,8,8,-6.8,20,22.5,35.7,1500,14
109,109,C110,41,23,4,14,11,11,1,15,3,5,2,21,21,5.853658537,15.2173913,31.30434783,52.37539767,2500,10
110,110,C111,41,27,6,8,25,1,1,23,0,4,3,15,17,8.292682927,19.62962963,25.92592593,53.84823848,2500,10
111,111,C112,47,43,3,1,23,8,12,0,13,30,28,39,39,16.80851064,18.13953488,53.95348837,88.90153389,4000,8
112,112,C113,41,35,2,4,5,6,24,22,12,1,30,32,32,15.12195122,18.28571429,28,61.40766551,3000,8
113,113,C114,44,4,23,17,4,0,0,0,2,2,0,4,4,-12.5,20,50,57.5,2500,8
114,114,C115,43,33,7,3,17,10,6,19,3,11,18,27,30,11.39534884,16.96969697,35.15151515,63.51656096,3000,8
115,115,C116,12,1,0,11,1,0,0,1,0,0,1,1,1,-7.5,20,20,32.5,1500,14
116,116,C117,12,6,4,2,1,3,2,0,4,2,6,6,6,1.666666667,15,46.66666667,63.33333333,3000,8
117,117,C118,44,6,7,31,0,3,3,6,0,0,6,6,6,-7.5,15,20,27.5,1000,14
118,118,C119,46,26,11,9,10,13,3,15,0,11,3,6,7,4.565217391,15,36.92307692,56.48829431,2500,10
119,119,C120,27,12,5,10,8,1,3,5,2,5,6,7,12,1.481481481,19.16666667,40,60.64814815,3000,8
120,120,C121,39,35,3,1,25,3,7,25,3,7,13,34,34,16.15384615,19.14285714,29.71428571,65.01098901,3000,8
121,121,C122,36,17,9,10,2,2,13,11,6,0,7,17,17,1.666666667,18.82352941,27.05882353,47.54901961,2000,12
122,122,C123,30,12,17,1,10,1,1,11,1,0,3,6,7,-3.666666667,19.16666667,21.66666667,37.16666667,1500,14
123,123,C124,16,0,13,3,0,0,0,0,0,0,0,0,0,-18.125,0,21.66666667,3.541666667,0,14
124,124,C125,28,25,2,1,0,15,10,9,11,5,20,24,25,16.07142857,14,36.8,66.87142857,3000,8
125,125,C126,41,34,4,3,23,11,0,33,0,1,10,34,34,13.90243902,16.76470588,21.17647059,51.84361549,2500,12
126,126,C127,34,1,24,9,0,0,1,1,0,0,1,1,1,-16.17647059,20,20,23.82352941,1000,14
127,127,C128,24,5,14,5,1,0,4,0,2,3,0,0,3,-9.583333333,20,52,62.41666667,3000,8
128,128,C129,31,12,18,1,10,1,1,11,0,1,7,8,9,-4.193548387,19.16666667,23.33333333,38.30645161,1500,14
129,129,C130,17,3,8,6,0,1,2,1,2,0,3,3,3,-9.411764706,16.66666667,33.33333333,40.58823529,2000,14
130,130,C131,30,8,11,11,0,1,7,7,1,0,1,1,5,-5.666666667,18.75,22.5,35.58333333,1500,14
131,131,C132,45,33,6,6,21,10,2,25,2,6,12,30,32,10.66666667,16.96969697,28.48484848,56.12121212,2500,10
132,132,C133,1,0,0,1,0,0,0,0,0,0,0,0,0,-10,0,28.48484848,18.48484848,500,14
133,133,C134,46,0,15,31,0,0,0,0,0,0,0,0,0,-13.26086957,0,28.48484848,15.22397892,500,14
134,134,C135,47,23,18,6,4,0,19,20,0,3,10,19,19,0.85106383,20,25.2173913,46.06845513,2000,14
135,135,C136,22,13,4,5,2,10,1,10,2,1,2,6,6,5.909090909,12.30769231,26.15384615,44.37062937,2000,14
136,136,C137,10,4,2,4,2,2,0,3,0,1,4,4,4,0,15,30,45,2000,14
137,137,C138,16,15,0,1,15,0,0,1,2,12,5,10,14,18.125,20,54.66666667,92.79166667,4500,8
138,138,C139,38,18,5,15,14,1,3,16,2,0,6,17,18,2.894736842,19.44444444,22.22222222,44.56140351,2000,14
139,139,C140,48,13,34,1,11,2,0,13,0,0,12,12,12,-8.958333333,18.46153846,20,29.50320513,1000,14
140,140,C141,49,34,9,6,8,6,20,5,22,7,4,24,24,8.979591837,18.23529412,41.17647059,68.39135654,3000,8
141,141,C142,1,0,0,1,0,0,0,0,0,0,0,0,0,-10,0,41.17647059,31.17647059,1500,14
142,142,C143,16,13,0,3,5,6,2,4,6,3,2,2,2,14.375,15.38461538,38.46153846,68.22115385,3000,8
143,143,C144,21,11,1,9,10,1,0,7,3,1,9,10,11,5.238095238,19.09090909,29.09090909,53.41991342,2500,10
144,144,C145,43,9,11,23,1,5,3,2,3,4,3,9,9,-6.279069767,14.44444444,44.44444444,52.60981912,2500,10
145,145,C146,1,0,0,1,0,0,0,0,0,0,0,0,0,-10,0,44.44444444,34.44444444,1500,14
146,146,C147,30,24,0,6,21,3,0,14,1,9,1,20,21,14,18.75,35.83333333,68.58333333,3000,8
147,147,C148,4,3,0,1,3,0,0,0,2,1,2,3,3,12.5,20,46.66666667,79.16666667,3500,8
148,148,C149,39,22,0,17,4,13,5,2,0,20,22,22,22,6.923076923,14.09090909,56.36363636,77.37762238,3500,8
149,149,C150,3,1,0,2,1,0,0,0,0,1,0,0,0,0,20,60,80,4000,8
150,150,C151,6,1,0,5,0,0,1,1,0,0,0,1,1,-5,20,20,35,1500,14
151,151,C152,22,3,8,11,2,1,0,0,1,2,0,0,3,-9.545454545,16.66666667,53.33333333,60.45454545,3000,8
152,152,C153,27,17,5,5,3,2,12,13,2,2,6,10,10,7.037037037,18.82352941,27.05882353,52.91938998,2500,10
153,153,C154,16,15,0,1,15,0,0,6,9,0,3,8,13,18.125,20,32,70.125,3500,8
154,154,C155,19,3,6,10,0,0,3,1,1,1,1,3,3,-8.421052632,20,40,51.57894737,2500,12
155,155,C156,9,4,4,1,2,1,1,4,0,0,3,3,3,-1.111111111,17.5,20,36.38888889,1500,14
156,156,C157,8,2,0,6,0,1,1,2,0,0,1,2,2,-2.5,15,20,32.5,1500,14
157,157,C158,25,19,5,1,7,3,9,17,2,0,3,16,17,10.8,18.42105263,22.10526316,51.32631579,2500,12
158,158,C159,22,20,1,1,9,1,10,5,10,5,5,10,18,16.81818182,19.5,40,76.31818182,3500,8
159,159,C160,47,0,43,4,0,0,0,0,0,0,0,0,0,-19.14893617,0,40,20.85106383,1000,14
160,160,C161,21,20,0,1,14,2,4,3,6,11,2,11,14,18.57142857,19,48,85.57142857,4000,8
161,161,C162,47,2,20,25,2,0,0,0,2,0,0,2,2,-12.9787234,20,40,47.0212766,2000,14
162,162,C163,34,33,0,1,8,7,18,15,11,7,6,11,13,19.11764706,17.87878788,35.15151515,72.14795009,3500,8
163,163,C164,22,12,5,5,2,3,7,12,0,0,3,8,10,4.090909091,17.5,20,41.59090909,2000,14
164,164,C165,6,3,2,1,2,0,1,0,3,0,1,2,2,1.666666667,20,40,61.66666667,3000,8
165,165,C166,40,34,0,6,29,4,1,6,24,4,5,22,23,15.5,18.82352941,38.82352941,73.14705882,3500,8
166,166,C167,46,17,10,19,4,2,11,0,15,2,8,17,17,-1.086956522,18.82352941,42.35294118,60.08951407,3000,8
167,167,C168,45,13,31,1,9,4,0,2,8,3,9,12,13,-8.222222222,16.92307692,41.53846154,50.23931624,2500,12
168,168,C169,5,2,0,3,1,1,0,0,0,2,2,2,2,2,15,60,77,3500,8
169,169,C170,20,10,7,3,0,6,4,8,0,2,4,4,7,1.5,14,28,43.5,2000,14
170,170,C171,39,38,0,1,27,3,8,12,10,16,3,25,31,19.23076923,19.21052632,42.10526316,80.5465587,4000,8
171,171,C172,2,1,0,1,0,0,1,1,0,0,0,0,0,5,20,20,45,2000,14
172,172,C173,21,8,3,10,6,1,1,6,2,0,0,5,6,0,18.75,25,43.75,2000,14
173,173,C174,26,12,8,6,11,0,1,10,0,2,0,12,12,0.769230769,20,26.66666667,47.43589744,2000,12
174,174,C175,16,0,2,14,0,0,0,0,0,0,0,0,0,-11.25,0,26.66666667,15.41666667,500,14
175,175,C176,20,19,0,1,9,9,1,0,10,9,1,13,13,18.5,15.26315789,49.47368421,83.23684211,4000,8
176,176,C177,34,10,4,20,6,1,3,3,2,5,4,8,9,-2.352941176,19,44,60.64705882,3000,8
177,177,C178,3,0,2,1,0,0,0,0,0,0,0,0,0,-16.66666667,0,44,27.33333333,1000,14
178,178,C179,16,1,7,8,0,1,0,1,0,0,1,1,1,-12.5,10,20,17.5,500,14
179,179,C180,3,0,1,2,0,0,0,0,0,0,0,0,0,-13.33333333,0,20,6.666666667,0,14
180,180,C181,8,4,1,3,0,2,2,0,1,3,1,3,4,3.75,15,55,73.75,3500,8
181,181,C182,26,1,12,13,0,0,1,1,0,0,0,1,1,-13.46153846,20,20,26.53846154,1000,14
182,182,C183,26,19,4,3,19,0,0,9,0,10,0,9,15,10.38461538,20,41.05263158,71.43724696,3500,8
183,183,C184,29,27,0,2,13,9,5,18,8,1,13,19,22,17.93103448,16.66666667,27.40740741,62.00510856,3000,8
184,184,C185,16,5,3,8,2,2,1,1,4,0,4,5,5,-2.5,16,36,49.5,2000,12
185,185,C186,26,18,4,4,16,2,0,4,4,10,2,2,11,9.230769231,18.88888889,46.66666667,74.78632479,3500,8
186,186,C187,20,12,5,3,11,0,1,5,3,4,12,12,12,5.5,20,38.33333333,63.83333333,3000,8
187,187,C188,46,11,3,32,1,4,6,1,10,0,11,11,11,-3.47826087,16.36363636,38.18181818,51.06719368,2500,12
188,188,C189,39,35,2,2,7,21,7,0,1,34,1,27,28,16.41025641,14,59.42857143,89.83882784,4000,8
189,189,C190,33,19,13,1,1,2,16,12,7,0,17,17,17,3.333333333,18.94736842,27.36842105,49.64912281,2000,12
190,190,C191,30,21,8,1,0,4,17,18,1,2,16,20,21,8.333333333,18.0952381,24.76190476,51.19047619,2500,12
191,191,C192,49,38,0,11,22,1,15,16,11,11,2,13,27,13.26530612,19.73684211,37.36842105,70.37056928,3500,8
192,192,C193,34,11,1,22,11,0,0,5,6,0,1,4,11,-0.588235294,20,30.90909091,50.32085561,2500,12
193,193,C194,31,4,3,24,3,0,1,0,3,1,0,3,4,-7.096774194,20,45,57.90322581,2500,8
194,194,C195,27,16,5,6,11,5,0,12,0,4,7,16,16,5.925925926,16.875,30,52.80092593,2500,10
195,195,C196,3,1,1,1,1,0,0,1,0,0,1,1,1,-3.333333333,20,20,36.66666667,1500,14
196,196,C197,26,6,15,5,3,3,0,1,0,5,5,5,5,-8.846153846,15,53.33333333,59.48717949,2500,8
197,197,C198,21,2,7,12,2,0,0,1,1,0,1,1,2,-10.47619048,20,30,39.52380952,1500,14
198,198,C199,46,23,6,17,16,0,7,6,9,8,13,15,22,3.695652174,20,41.73913043,65.43478261,3000,8
199,199,C200,29,2,5,22,1,1,0,0,2,0,1,2,2,-9.655172414,15,40,45.34482759,2000,14
200,200,C201,1,0,0,1,0,0,0,0,0,0,0,0,0,-10,0,40,30,1500,14
201,201,C202,35,5,28,2,0,5,0,3,0,2,5,5,5,-13.71428571,10,36,32.28571429,1500,14
202,202,C203,46,4,20,22,0,4,0,0,1,3,3,3,4,-11.73913043,10,55,53.26086957,2500,10
203,203,C204,25,15,8,2,5,4,6,12,1,2,13,13,14,4.8,17.33333333,26.66666667,48.8,2000,12
204,204,C205,27,21,0,6,4,16,1,6,0,15,4,11,21,13.33333333,12.38095238,48.57142857,74.28571429,3500,8
205,205,C206,9,4,2,3,2,2,0,1,0,3,1,3,4,1.111111111,15,50,66.11111111,3000,8
206,206,C207,9,6,2,1,1,0,5,0,2,4,2,3,5,7.777777778,20,53.33333333,81.11111111,4000,8
207,207,C208,2,1,0,1,1,0,0,1,0,0,0,1,1,5,20,20,45,2000,14
208,208,C209,25,16,8,1,16,0,0,16,0,0,8,16,16,6,20,20,46,2000,14
209,209,C210,5,0,4,1,0,0,0,0,0,0,0,0,0,-18,0,20,2,0,14
210,210,C211,40,9,18,13,2,5,2,0,7,2,0,3,6,-7.75,14.44444444,44.44444444,51.13888889,2500,12
211,211,C212,24,1,22,1,0,0,1,0,1,0,0,0,1,-17.91666667,20,40,42.08333333,2000,14
212,212,C213,24,16,5,3,10,3,3,8,6,2,1,5,7,7.916666667,18.125,32.5,58.54166667,2500,8
213,213,C214,22,3,15,4,1,1,1,1,1,1,3,3,3,-12.72727273,16.66666667,40,43.93939394,2000,14
214,214,C215,40,15,13,12,2,12,1,5,3,7,0,1,11,-2,12,42.66666667,52.66666667,2500,10
215,215,C216,43,20,9,14,20,0,0,2,4,14,10,15,20,1.860465116,20,52,73.86046512,3500,8
216,216,C217,9,6,0,3,4,1,1,3,2,1,0,3,5,10,18.33333333,33.33333333,61.66666667,3000,8
217,217,C218,47,12,22,13,6,5,1,12,0,0,12,12,12,-7.021276596,15.83333333,20,28.81205674,1000,14
218,218,C219,43,25,11,7,5,15,5,5,18,2,15,22,24,4.88372093,14,37.6,56.48372093,2500,10
219,219,C220,6,5,0,1,3,2,0,5,0,0,3,4,5,15,16,20,51,2500,12
220,220,C221,41,34,2,5,34,0,0,30,0,4,13,26,32,14.3902439,20,24.70588235,59.09612626,2500,8
221,221,C222,38,2,28,8,0,2,0,1,0,1,2,2,2,-15.78947368,10,40,34.21052632,1500,14
222,222,C223,24,15,1,8,5,7,3,1,2,12,10,14,14,8.333333333,15.33333333,54.66666667,78.33333333,3500,8
223,223,C224,33,19,7,7,18,0,1,19,0,0,13,16,18,5.151515152,20,20,45.15151515,2000,14
224,224,C225,6,3,2,1,3,0,0,0,3,0,0,0,0,1.666666667,20,40,61.66666667,3000,8
225,225,C226,31,17,9,5,4,6,7,0,9,8,15,16,17,3.548387097,16.47058824,49.41176471,69.43074004,3000,8
226,226,C227,36,1,9,26,0,1,0,1,0,0,0,1,1,-11.66666667,10,20,18.33333333,500,14
227,227,C228,45,43,0,2,27,7,9,8,28,7,26,40,42,18.66666667,18.37209302,39.53488372,76.57364341,3500,8
228,228,C229,28,14,7,7,7,7,0,0,5,9,8,8,8,2.5,15,52.85714286,70.35714286,3500,8
229,229,C230,28,17,9,2,5,7,5,16,0,1,10,12,17,5,15.88235294,22.35294118,43.23529412,2000,14
230,230,C231,12,9,0,3,3,3,3,5,3,1,7,7,8,12.5,16.66666667,31.11111111,60.27777778,3000,8
231,231,C232,40,23,6,11,11,11,1,11,6,6,1,8,12,5.75,15.2173913,35.65217391,56.61956522,2500,10
232,232,C233,44,32,4,8,13,18,1,1,9,22,17,25,31,10.90909091,14.375,53.125,78.40909091,3500,8
233,233,C234,36,25,2,9,12,6,7,16,2,7,13,16,20,10.27777778,17.6,32.8,60.67777778,3000,8
234,234,C235,10,6,2,2,6,0,0,2,0,4,3,5,6,6,20,46.66666667,72.66666667,3500,8
235,235,C236,22,16,4,2,1,11,4,9,2,5,14,16,16,10,13.125,35,58.125,2500,8
236,236,C237,48,8,28,12,5,3,0,2,1,5,4,5,5,-10.83333333,16.25,47.5,52.91666667,2500,10
237,237,C238,45,30,6,9,14,8,8,20,9,1,19,29,30,8.666666667,17.33333333,27.33333333,53.33333333,2500,10
238,238,C239,28,27,0,1,26,0,1,14,2,11,1,10,12,18.92857143,20,37.77777778,76.70634921,3500,8
239,239,C240,32,17,14,1,10,7,0,3,14,0,8,8,8,1.5625,15.88235294,36.47058824,53.91544118,2500,10
240,240,C241,21,6,1,14,4,0,2,5,0,1,1,2,2,-1.904761905,20,26.66666667,44.76190476,2000,14
241,241,C242,21,6,10,5,6,0,0,5,0,1,0,0,1,-6.19047619,20,26.66666667,40.47619048,2000,14
